"codigo_pais","pais","pbi_indust_pc","grupo"
"ARG","Argentina",2608.55342588474,"Más industrializado"
"BRA","Brazil",858.125355789991,"Menos industrializado"
"CHL","Chile",1348.8966975328,"Menos industrializado"
"CHN","China",3390.08134851745,"Más industrializado"
"COL","Colombia",817.869661846624,"Menos industrializado"
"CRI","Costa Rica",2017.26666734162,"Menos industrializado"
"FRA","France",3898.36444759857,"Más industrializado"
"DEU","Germany",8904.31369550128,"Más industrializado"
"IDN","Indonesia",832.85920391029,"Menos industrializado"
"KOR","Korea, Rep.",9949.26698719298,"Más industrializado"
"MEX","Mexico",2090.15228880192,"Menos industrializado"
"ESP","Spain",3179.26604174212,"Más industrializado"
"TUR","Turkiye",2435.85270744585,"Menos industrializado"
"GBR","United Kingdom",4115.31668682208,"Más industrializado"
"USA","United States",6730.28865055737,"Más industrializado"
