"codigo_pais","pais","anio","pbi_pc","coef_gini","poblacion","exp_servicios","region","nivel_ingreso","pbi_indust_pc","pbi_indust_pc_idx","variacion_idx","grupo"
"ARG","Argentina",1984,9614.44726215357,NA,29863093,1.511e+09,"Latin America & Caribbean","Upper middle income",2549.23124515741,88.6002492498403,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2000,10631.6503639029,51,37213984,4899720314.83402,"Latin America & Caribbean","Upper middle income",2306.83045998662,80.1754466646347,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1987,9484.45876638052,45.3,31291762,1.794e+09,"Latin America & Caribbean","Upper middle income",2464.77655515252,85.6649696046665,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2015,13679.6264980954,NA,43477012,13213512349.9764,"Latin America & Caribbean","Upper middle income",2881.07739919226,100.133785886009,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1985,8973.31874865813,NA,30336441,1.651e+09,"Latin America & Caribbean","Upper middle income",2262.43504826934,78.6324542228259,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2014,13456.1319159151,41.8,43024071,13396371827.7263,"Latin America & Caribbean","Upper middle income",2889.27836562,100.418815998898,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2018,13058.3285449954,41.7,44654882,15342163177.8323,"Latin America & Caribbean","Upper middle income",2585.6188255834,89.8649241205352,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2019,12706.3978108968,43.3,44973465,14802420804.6124,"Latin America & Caribbean","Upper middle income",2409.24547368819,83.7349494591035,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2020,11393.0505957877,42.7,45191965,9491737606.79369,"Latin America & Caribbean","Upper middle income",2213.06707595648,76.9166370876846,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1986,9378.46866394349,42.8,30811980,1.597e+09,"Latin America & Caribbean","Upper middle income",2477.89048526559,86.120753080124,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2022,13276.8232110189,40.7,45407904,14415863622.2604,"Latin America & Caribbean","Upper middle income",2670.42880214803,92.8125519894362,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2023,12993.0928872416,42.4,45538401,16532346065.2429,"Latin America & Caribbean","Upper middle income",2608.55342588474,90.6620316042145,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1983,9617.7000569575,NA,29391332,1.455e+09,"Latin America & Caribbean","Upper middle income",2523.85492072613,87.718277999124,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2021,12549.2811699342,42.4,45312281,9588735677.65264,"Latin America & Caribbean","Upper middle income",2555.2622901779,88.8098622824229,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1999,10838.3199346387,49.8,36794682,4709518724.6817,"Latin America & Caribbean","Upper middle income",2425.37176209715,84.2954294764508,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1972,9617.68814943737,NA,24644328,NA,"Latin America & Caribbean","Upper middle income",3077.92171376663,106.975242645898,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1988,9236.80771302535,NA,31780532,2.015e+09,"Latin America & Caribbean","Upper middle income",2320.29658396084,80.6434708749968,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1998,11348.2022124673,50.7,36372860,4847269562.61265,"Latin America & Caribbean","Upper middle income",2664.75370184955,92.6153100554541,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2017,13520.1129846159,41.4,44288894,15506201961.9822,"Latin America & Caribbean","Upper middle income",2738.57173099916,95.1809053870708,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1991,8729.82318518892,46.8,33230294,2.408e+09,"Latin America & Caribbean","Upper middle income",2171.99416708477,75.4891204705232,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1992,9293.18692251748,45.5,33693527,2968800000,"Latin America & Caribbean","Upper middle income",2392.94129289834,83.1682866722183,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1993,9920.67358582437,44.8,34152717,3023560000,"Latin America & Caribbean","Upper middle income",2470.24149644172,85.854907320705,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1994,10359.8927204871,45.9,34613491,3.329e+09,"Latin America & Caribbean","Upper middle income",2547.7624345151,88.5491997464825,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1995,9934.10776139515,48.9,35070020,3814600000,"Latin America & Caribbean","Upper middle income",2336.36519895253,81.2019464138747,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1996,10352.1400002191,49.5,35513793,4390154642.49289,"Latin America & Caribbean","Upper middle income",2453.37530333848,85.2687114172609,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1997,11056.6881331002,49.1,35947791,4582871471.35522,"Latin America & Caribbean","Upper middle income",2645.26209835586,91.9378662452462,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1970,9244.12251785153,NA,23878327,NA,"Latin America & Caribbean","Upper middle income",2877.2280741208,100,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1971,9614.61061692134,NA,24257208,NA,"Latin America & Caribbean","Upper middle income",3006.25223445843,104.484321611419,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",2011,14040.6189124444,42.7,41730660,14496981275.3834,"Latin America & Caribbean","Upper middle income",3183.67261764122,110.650686550598,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1973,9729.53258885903,NA,25046005,NA,"Latin America & Caribbean","Upper middle income",3148.68216853833,109.434569920234,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1989,8445.4100923428,NA,32270948,2.193e+09,"Latin America & Caribbean","Upper middle income",2111.96880931166,73.4028987242179,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1990,8115.09386370753,NA,32755901,2.446e+09,"Latin America & Caribbean","Upper middle income",1999.01367859267,69.4770670623151,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1976,9584.74851751038,NA,26282283,7.14e+08,"Latin America & Caribbean","Upper middle income",3001.81864197679,104.33022911797,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1977,10088.3374871635,NA,26701805,9.51e+08,"Latin America & Caribbean","Upper middle income",3185.52101480686,110.714928839288,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1978,9480.94009490414,NA,27132158,1.087e+09,"Latin America & Caribbean","Upper middle income",2805.10921906736,97.4934606087673,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1979,10284.6064087552,NA,27568895,1.369e+09,"Latin America & Caribbean","Upper middle income",3041.86874995603,105.72219760109,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1980,10275.7987023886,40.8,28011596,1.876e+09,"Latin America & Caribbean","Upper middle income",2879.7273124353,100.086862711266,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1981,9587.67379423426,NA,28463959,1.716e+09,"Latin America & Caribbean","Upper middle income",2497.18735404248,86.7914287540637,-9.3379683957855,"Menos industrializado"
"ARG","Argentina",1982,9365.68465387847,NA,28924262,1.574e+09,"Latin America & Caribbean","Upper middle income",2388.95486540632,83.0297356992221,-9.3379683957855,"Menos industrializado"
