"codigo_pais","pais","año_ref","anio_real","coef_gini"
"ARG","Argentina",1970,1980,40.8
"ARG","Argentina",1990,1991,46.8
"ARG","Argentina",2010,2010,43.7
"ARG","Argentina",2023,2023,42.4
"BRA","Brazil",1970,1981,57.9
"BRA","Brazil",1990,1990,60.5
"BRA","Brazil",2010,2009,53.7
"BRA","Brazil",2023,2023,51.5
"CHL","Chile",1970,1987,56.2
"CHL","Chile",1990,1990,57.2
"CHL","Chile",2010,2009,47.4
"CHL","Chile",2023,2022,43.2
"CHN","China",1970,1981,28.2
"CHN","China",1990,1990,32.2
"CHN","China",2010,2010,43.7
"CHN","China",2023,2022,36
"COL","Colombia",1970,1980,55.1
"COL","Colombia",1990,1989,52.8
"COL","Colombia",2010,2010,54.4
"COL","Colombia",2023,2023,54.6
"CRI","Costa Rica",1970,1981,47.5
"CRI","Costa Rica",1990,1990,45.2
"CRI","Costa Rica",2010,2010,48
"CRI","Costa Rica",2023,2023,46.7
"DEU","Germany",1970,1991,29.3
"DEU","Germany",1990,1991,29.3
"DEU","Germany",2010,2010,30.2
"DEU","Germany",2023,2022,33.7
"ESP","Spain",1970,1980,34.5
"ESP","Spain",1990,1990,32
"ESP","Spain",2010,2010,35.2
"ESP","Spain",2023,2023,33.4
"FRA","France",1970,1970,37.1
"FRA","France",1990,1990,32.1
"FRA","France",2010,2010,33.7
"FRA","France",2023,2023,31.8
"GBR","United Kingdom",1970,1970,28
"GBR","United Kingdom",1990,1990,35.7
"GBR","United Kingdom",2010,2010,33.7
"GBR","United Kingdom",2023,2021,32.4
"IDN","Indonesia",1970,1984,32.3
"IDN","Indonesia",1990,1990,31.1
"IDN","Indonesia",2010,2010,34.6
"IDN","Indonesia",2023,2023,36.1
"KOR","Korea, Rep.",1970,2006,31.7
"KOR","Korea, Rep.",1990,2006,31.7
"KOR","Korea, Rep.",2010,2010,32
"KOR","Korea, Rep.",2023,2021,32.9
"MEX","Mexico",1970,1984,48.5
"MEX","Mexico",1990,1989,50.1
"MEX","Mexico",2010,2010,47.7
"MEX","Mexico",2023,2022,43.5
"TUR","Turkiye",1970,1987,41
"TUR","Turkiye",1990,1987,41
"TUR","Turkiye",2010,2010,38.8
"TUR","Turkiye",2023,2023,43.7
"USA","United States",1970,1970,36.6
"USA","United States",1990,1990,38.3
"USA","United States",2010,2010,40.2
"USA","United States",2023,2023,41.8
